,name,salary_min,salary_max,salary_currency,salary_type,company_name,url,site
31,Инженер по наладке и испытаниям,70000.0,,руб.,gross,ООО Промэнергосервис,https://hh.ru/vacancy/45391533,hh.ru
32,Инженер,,87000.0,руб.,net,АО Связьтранснефть,https://hh.ru/vacancy/45568131,hh.ru
33,Инженер-энергетик,50000.0,80000.0,руб.,gross,ООО Неолекс,https://hh.ru/vacancy/45576821,hh.ru
34,Инженер,106250.0,106250.0,руб.,gross,ГБПОУ «26 КАДР»,https://hh.ru/vacancy/42360944,hh.ru
35,Инженер ПСР,80000.0,,руб.,net,ООО Roin World S.L.,https://hh.ru/vacancy/45577446,hh.ru
36,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970069,hh.ru
37,Инженер по организации эксплуатации и ремонту,60000.0,,руб.,gross,АО ХелиВерт,https://hh.ru/vacancy/45219869,hh.ru
38,Инженер АКЗ,95000.0,125000.0,руб.,net,ООО КОРРОКОУТ,https://hh.ru/vacancy/45536685,hh.ru
39,Инженер по метрологии,45000.0,75000.0,руб.,net,ООО Эффективное энергосбережение,https://hh.ru/vacancy/45336691,hh.ru
40,Инженер,,,none,none,АНО ДО Планета детства Лада,https://hh.ru/vacancy/45553181,hh.ru
41,Инженер по наладке и испытаниям (Медвеженская ВЭС),70000.0,,руб.,gross,ООО Промэнергосервис,https://hh.ru/vacancy/45396804,hh.ru
42,Инженер по организации эксплуатации и ремонту,35000.0,,руб.,gross,ООО Разуменское,https://hh.ru/vacancy/45443520,hh.ru
43,Инженер,70000.0,90000.0,руб.,gross,Ассоциация Разработчиков в Сфере Инноваций,https://hh.ru/vacancy/45226159,hh.ru
44,Инженер/Технический специалист,50000.0,,руб.,gross,ООО ЗАВОД ЛГВС,https://hh.ru/vacancy/44371620,hh.ru
45,Инженер по оборудованию,75000.0,120000.0,руб.,net,ООО ЧЕБУРЭК-СЕРВИС,https://hh.ru/vacancy/45111839,hh.ru
46,Инженер,65000.0,65000.0,руб.,net,Русджам Стеклотара Холдинг,https://hh.ru/vacancy/44913413,hh.ru
47,Инженер-конструктор,70000.0,70000.0,руб.,net,ООО Мегалайт,https://hh.ru/vacancy/44886165,hh.ru
48,Инженер по монтажу оборудования,60000.0,,руб.,net,ООО Инжиниринг-Строй-Комплекс,https://hh.ru/vacancy/45277897,hh.ru
49,Инженер по качеству электромонтажных работ,90000.0,,руб.,net,ООО Калькедон Строй,https://hh.ru/vacancy/45091470,hh.ru
50,Инженер по подготовке производства,70000.0,70000.0,руб.,gross,АО Подольские огнеупоры,https://hh.ru/vacancy/45439670,hh.ru
51,Инженер ТО,80500.0,80500.0,руб.,gross,"ЕКА, Топливная компания",https://hh.ru/vacancy/45188302,hh.ru
52,Инженер-пусконаладчик,80000.0,100000.0,руб.,net,АО НПК МЕДИАНА-ФИЛЬТР,https://hh.ru/vacancy/45250690,hh.ru
53,Авиационный инженер (Инжиниринговый Отдел/Engineering),70000.0,120000.0,руб.,net,ООО Аэромастер,https://hh.ru/vacancy/44968420,hh.ru
54,Инженер по подбору оборудования,50000.0,,руб.,gross,Вертро,https://hh.ru/vacancy/44844590,hh.ru
55,Инженер-дефектоскопист,40000.0,100000.0,руб.,net,ООО ИТР,https://hh.ru/vacancy/45172492,hh.ru
56,Инженер,50000.0,,руб.,gross,ООО Асгард,https://hh.ru/vacancy/45410756,hh.ru
57,Инженер (Китай),150000.0,,руб.,net,ООО Константа,https://hh.ru/vacancy/43321648,hh.ru
58,Инженер-акустик / Инженер-эколог,35000.0,45000.0,руб.,net,ООО Энвиро,https://hh.ru/vacancy/45506029,hh.ru
59,Главный инженер,100000.0,,руб.,net,ООО ПРОМСТРОЙКОНТРАКТ,https://hh.ru/vacancy/45278506,hh.ru
60,Инженер технического отдела,35000.0,45000.0,руб.,net,ООО Строительные системы,https://hh.ru/vacancy/44941890,hh.ru
61,Инженер ППР,,,none,none,АО ОМУС-1,https://hh.ru/vacancy/44976388,hh.ru
62,Инженер,40000.0,75000.0,руб.,net,ООО АРМСЕРВИС,https://hh.ru/vacancy/45048885,hh.ru
63,Инженер производственно-технического отдела,90000.0,100000.0,руб.,net,ООО ПрофГазСтрой,https://hh.ru/vacancy/45503404,hh.ru
64,Инженер,40000.0,45000.0,руб.,gross,ЗАО Магнитогорский центр технической экспертизы,https://hh.ru/vacancy/45551792,hh.ru
65,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970073,hh.ru
66,Инженер систем электропитания,,,none,none,ТОО МЭК-Астана,https://hh.ru/vacancy/45515546,hh.ru
67,Инженер-механик,70000.0,80000.0,руб.,gross,ООО Хендэ Инжиниринг Рус,https://hh.ru/vacancy/45564305,hh.ru
68,Инженер-проектировщик,1537.0,3075.0,бел.руб.,gross,Компания Электровектор,https://hh.ru/vacancy/45084487,hh.ru
69,Инженер по нормативно-технической документации (НТД),67600.0,,руб.,gross,БИК-Информ,https://hh.ru/vacancy/45140721,hh.ru
70,Ведущий инженер,50000.0,100000.0,руб.,gross,ООО РСК,https://hh.ru/vacancy/45216313,hh.ru
71,Инженер производственного технического отдела ( в г. Симферополь),70000.0,,руб.,gross,АО Международный аэропорт Симферополь,https://hh.ru/vacancy/44970076,hh.ru
72,Инженер,,,none,none,ООО Челленджер,https://hh.ru/vacancy/40971063,hh.ru
73,Инженер,60000.0,100000.0,руб.,gross,A5000 Event Solutions,https://hh.ru/vacancy/45281070,hh.ru
74,Главный инженер (газовая сфера),70000.0,,руб.,net,ООО Газтехносервис,https://hh.ru/vacancy/44889435,hh.ru
75,Инженер по подбору насосного оборудования,,,none,none,Промхимтех,https://hh.ru/vacancy/45439687,hh.ru
76,Инженер по эксплуатации,,,none,none,Yummi Co LLC,https://hh.ru/vacancy/45056511,hh.ru
77,Инженер по наладке и испытаниям,40000.0,,руб.,net,ООО Байкал,https://hh.ru/vacancy/45453247,hh.ru
