,name,salary_min,salary_max,salary_currency,salary_type,salary_period,company_name,url,site
108,Инженер в типографию,24000.0,26000.0,руб.,gross,месяц,Академия управления МВД России,https://www.superjob.ru/vakansii/inzhener-v-tipografiyu-33345623.html,superjob.ru
109,Инженер строительного контроля,90000.0,100000.0,руб.,gross,месяц,ТехноСпецСтрой,https://www.superjob.ru/vakansii/inzhener-stroitelnogo-kontrolya-37469474.html,superjob.ru
110,Главный инженер проекта (ГИП),100000.0,120000.0,руб.,gross,месяц,ИВЕА,https://www.superjob.ru/vakansii/glavnyj-inzhener-proekta-37535778.html,superjob.ru
111,Инженер технической поддержки 1С,,80000.0,руб.,gross,месяц,Акросс,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-1s-36965292.html,superjob.ru
112,Инженер АСУ ТП,,120000.0,руб.,gross,месяц,Стройпроект инвест,https://www.superjob.ru/vakansii/inzhener-asu-tp-37721987.html,superjob.ru
113,Инженер-проектировщик слаботочных систем,80000.0,90000.0,руб.,gross,месяц,ГУП «Московский метрополитен»,https://www.superjob.ru/vakansii/inzhener-proektirovschik-slabotochnyh-sistem-37535659.html,superjob.ru
114,Ведущий инженер-разработчик ПО / Senior Software Engineer,,,none,none,none,Департамент персонала,https://www.superjob.ru/vakansii/veduschij-inzhener-razrabotchik-po-37335481.html,superjob.ru
115,,,,,,,,,
116,,,,,,,,,
117,Инженер по подбору оборудования ОВиК (вентиляция и кондиционирование),,,none,none,none,Воздухотехника,https://www.superjob.ru/vakansii/inzhener-po-podboru-oborudovaniya-ovik-36809157.html,superjob.ru
118,Инженер технадзора (системы безопасности и пожарная защита),,,none,none,none,Почта России,https://www.superjob.ru/vakansii/inzhener-tehnadzora-36082966.html,superjob.ru
119,Инженер-конструктор / Расчетчик,45000.0,55000.0,руб.,gross,месяц,DoorHan,https://www.superjob.ru/vakansii/inzhener-konstruktor-37663526.html,superjob.ru
120,,,,,,,,,
121,QA-инженер (автоматизатор),,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/qa-inzhener-37408914.html,superjob.ru
122,Инженер дорожного отдела ООО ИНСТРОЙПРОЕКТ,,,none,none,none,АВТОБАН,https://www.superjob.ru/vakansii/inzhener-dorozhnogo-otdela-ooo-instrojproekt-34377580.html,superjob.ru
123,Инженер технической поддержки,60000.0,,руб.,gross,месяц,BAS-IP,https://www.superjob.ru/vakansii/inzhener-tehnicheskoj-podderzhki-37467699.html,superjob.ru
124,,,,,,,,,
125,Инженер ПТО на объектах в ЯНАО,,125000.0,руб.,gross,месяц,ДМНР КХМ,https://www.superjob.ru/vakansii/inzhener-pto-na-obektah-v-yanao-32127451.html,superjob.ru
126,,,,,,,,,
127,Инженер,50000.0,53000.0,руб.,gross,месяц,DoorHan,https://www.superjob.ru/vakansii/inzhener-37663179.html,superjob.ru
128,,,,,,,,,
129,Инженер-камеральщик,80000.0,,руб.,gross,месяц,Столичная строительная компания,https://www.superjob.ru/vakansii/inzhener-kameralschik-37716073.html,superjob.ru
130,,,,,,,,,
131,Выездной инженер,50000.0,60000.0,руб.,gross,месяц,СТОЛИЧКИ,https://www.superjob.ru/vakansii/vyezdnoj-inzhener-37275866.html,superjob.ru
132,,,,,,,,,
133,Инженер ПТО,60000.0,,руб.,gross,месяц,А-СИС Строй,https://www.superjob.ru/vakansii/inzhener-pto-37557687.html,superjob.ru
134,Инженер службы связи и ОПС,,60000.0,руб.,gross,месяц,Мать и дитя,https://www.superjob.ru/vakansii/inzhener-sluzhby-svyazi-i-ops-36777484.html,superjob.ru
135,Инженер по ремонту / Кладовщик-комплектовщик,36000.0,,руб.,gross,месяц,Спортмастер,https://www.superjob.ru/vakansii/inzhener-po-remontu-37187896.html,superjob.ru
136,Инженер по ремонту автоматических ворот,,,none,none,none,АБСОЛЮТ-сервис,https://www.superjob.ru/vakansii/inzhener-po-remontu-avtomaticheskih-vorot-37338662.html,superjob.ru
137,Инженер по комплектации оборудования,70000.0,,руб.,gross,месяц,ГБУЗ ГКБ №15 имени О. М. Филатова,https://www.superjob.ru/vakansii/inzhener-po-komplektacii-oborudovaniya-25564912.html,superjob.ru
138,Инженер-программист,,,none,none,none,Детский санаторий №15,https://www.superjob.ru/vakansii/inzhener-programmist-36805497.html,superjob.ru
139,Инженер по медицинскому оборудованию,60000.0,60000.0,руб.,gross,месяц,ГБУЗ ДГП 11 ДЗМ,https://www.superjob.ru/vakansii/inzhener-po-medicinskomu-oborudovaniyu-32748389.html,superjob.ru
140,Ведущий инженер по сопровождению,,,none,none,none,Сбербанк России,https://www.superjob.ru/vakansii/veduschij-inzhener-po-soprovozhdeniyu-37451186.html,superjob.ru
141,Инженер по надзору за строительством,57000.0,69000.0,руб.,gross,месяц,"ГУП ""Московский метрополитен""",https://www.superjob.ru/vakansii/inzhener-po-nadzoru-za-stroitelstvom-37481929.html,superjob.ru
142,Инженер-технолог,,,none,none,none,DoorHan,https://www.superjob.ru/vakansii/inzhener-tehnolog-37662895.html,superjob.ru
143,Инженер-технолог в отдел Главного технолога,90000.0,,руб.,gross,месяц,Всероссийский научно-исследовательский институт авиационных материалов,https://www.superjob.ru/vakansii/inzhener-tehnolog-v-otdel-glavnogo-tehnologa-36568364.html,superjob.ru
144,Инженер-сметчик,60000.0,70000.0,руб.,gross,месяц,ГБОУ Российский геронтологический научно-клинический центр,https://www.superjob.ru/vakansii/inzhener-smetchik-35887571.html,superjob.ru
145,DevOps инженер,,,none,none,none,Понтякова,https://www.superjob.ru/vakansii/devops-inzhener-37595979.html,superjob.ru
146,Сервисный инженер систем вентиляции и кондиционирования,55000.0,60000.0,руб.,gross,месяц,ИнжСервис,https://www.superjob.ru/vakansii/servisnyj-inzhener-sistem-ventilyacii-i-kondicionirovaniya-37050917.html,superjob.ru
147,Инженер-технолог ВВО,,,none,none,none,МЭЛ,https://www.superjob.ru/vakansii/inzhener-tehnolog-vvo-37719147.html,superjob.ru
148,Ведущий инженер-конструктор,80000.0,85000.0,руб.,gross,месяц,Staffmax,https://www.superjob.ru/vakansii/veduschij-inzhener-konstruktor-37365518.html,superjob.ru
149,Инженер-проектировщик электроснабжение,,120000.0,руб.,gross,месяц,,https://www.superjob.ru/vakansii/inzhener-proektirovschik-elektrosnabzhenie-37595391.html,superjob.ru
